Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G194,6.03,51.16,8.02,2574.87,37.77,6.85,2022.26,54.97,6.74,3508.14
G195,4.55,54.27,7.09,1889.77,31.51,6.34,1218.7,59.28,6.14,1989.61
G196,4.5,48.05,6.92,2184.8,37.17,6.09,1656.81,46.56,4.31,1344.45
G197,6.96,41.15,7.07,1678.96,48.33,6.01,2000.1,51.22,6.49,3107.59
G198,7.69,42.92,7.44,1272.04,39.52,6.9,1647.13,48.78,5.85,2003.58
G199,6.52,49.13,7.43,2318.96,38.37,5.92,1638.37,41.06,4.39,870
G200,6.57,63.24,8.46,2414.29,42.52,7.11,2477.19,50.59,5.5,2360.79
G201,6.92,58.09,8.61,2840.83,39.39,5.98,2086.71,55.3,4.42,2274.02
G202,5.38,58.12,8.07,2919.54,36.56,6.05,1446.33,58.05,7.02,2620.18
G203,5.52,52.39,7.03,2137.07,39.43,5.75,1915.18,47.46,4.87,1903.6
G204,7.09,56.33,7.89,2618.6,33.71,8.19,1962.51,59.32,6.98,2575.27
G205,5.52,57.18,7.46,2414.64,43.54,6.54,1839.85,44.61,4.59,1961.64
G206,5.56,47.58,5.95,1237.09,36.1,6.23,1383.28,50.18,5.24,2061.87
G207,4.46,53.84,7.5,2731.6,42.18,6.01,1963.76,47.57,6.02,2734.49
G208,5.54,59.16,8.43,2135.89,34.43,7.34,1610.93,52.72,6.96,2943.46
G209,4.42,63.4,7.04,2793.61,32.5,5.81,1330.86,55.23,5.93,2448.27
G210,3.53,63.67,6.95,3299,40.52,6.52,1500.74,50.37,6.02,2068.77
G211,3.1,69.78,6.59,2616.13,35.31,5.77,1244.37,59.49,6,2524.67
G212,5.02,61.28,7.41,2608.19,31.78,6.83,1054.89,41.53,6.1,1866.51
G213,4.56,70.87,7.97,3422.39,36.08,5.97,1728.93,43.66,6.4,2086.35
G214,5,55.18,5.92,1682.55,35.5,6.21,1571.13,58.84,6.53,2830.67
G215,3.5,58.21,7.1,2606,41.67,5.58,1448.31,43.5,5.38,2064.61
G216,6.39,50.55,7.54,1921.03,39.07,6.32,1810.74,47.44,6,2598.01
